Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,emotion
0,Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,-0.295093424,-1.244617183,4,-10.058,1,0.0429,1.049229912,-0.691228709,-0.537218591,-1.17892497,133.406,240166,3,Happy
1,Jason Mraz,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,50,2012,acoustic,0.18734904,-0.686393252,3,-10.286,1,0.0258,0.437940026,-0.691191182,-0.624750028,0.22134908,140.182,216387,4,Sad
2,Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012,acoustic,-0.696225359,-1.499699641,3,-13.711,1,0.0323,0.046376458,-0.69109175,-0.664039707,-1.156580171,139.832,158960,4,Happy
3,Boyce Avenue,Fast Car,63wsZUhUZLlh1OsyrZq7sz,58,2012,acoustic,-0.78837729,-1.436853238,10,-9.845,1,0.0363,1.367551374,-0.691228709,-0.712778803,0.195280148,204.961,304293,4,Happy
4,Andrew Belle,Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,54,2012,acoustic,-0.582390621,0.559444263,6,-5.419,0,0.0302,-0.701256426,-0.63836256,-0.562085477,-0.888442587,171.864,244320,4,Intense
5,Chris Smither,What They Say,24NvptbNKGs6sPy1Vh1O0v,48,2012,acoustic,0.154824829,-0.257558974,2,-6.42,1,0.0329,1.032327888,-0.69122397,-0.640167497,1.878588314,83.403,166240,4,Sad
6,Matt Wertz,Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,48,2012,acoustic,0.203611145,-0.124472474,9,-8.197,1,0.03,-0.872248574,-0.691228709,-0.773454003,-0.34099502,121.083,152307,4,Intense
7,Green River Ordinance,Dancing Shoes,3Y6BuzQCg9p4yH347Nn8OW,45,2012,acoustic,0.263238865,-0.800995516,7,-7.459,1,0.0261,-0.195885893,-0.69121274,-0.623755353,-0.512305143,138.133,232373,4,Intense
8,Jason Mraz,Living in the Moment,3ce7k1L4EkZppZPz1EJWTS,44,2012,acoustic,0.610163783,-0.043141835,7,-7.16,1,0.0232,-0.769709625,-0.691228709,-0.517325083,0.910313706,84.141,235080,4,Sad
9,Boyce Avenue,Heaven,2EKxmYmUdAVXlaHCnnW13o,58,2012,acoustic,0.442122026,-1.329644669,8,-10.238,0,0.0317,1.150642059,-0.691228709,-0.596899116,-0.609132604,129.948,250063,4,Happy
10,Tristan Prettyman,Say Anything,1RjEDlhTp2iJXWPdLpa8OM,45,2012,acoustic,0.648108695,-0.775117585,1,-10.202,1,0.0314,0.598509259,-0.690576785,-0.512351706,-0.44899488,91.967,236379,4,Sad
11,David Gray,Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,45,2012,acoustic,0.637267292,0.193456387,5,-6.217,1,0.0326,0.694287397,-0.691164612,-0.517325083,0.34052134,121.455,234270,4,Sad
12,Boyce Avenue,Someone Like You,6VtoP2sJt5oCmPOQIve2sf,55,2012,acoustic,-0.533604304,-1.599514516,1,-9.573,1,0.0297,0.806967561,-0.691228709,-0.184108818,-0.713408331,136.514,276147,4,Happy
13,Jason Mraz,The Woman I Love,0AYG9AcwqEeqgAw3OvshPC,40,2012,acoustic,0.290342374,0.027098262,4,-8.34,1,0.0277,-0.717031649,-0.691048745,0.039693152,0.828382777,79.68,190752,4,Sad
14,Eddie Vedder,I Shall Be Released,0J1iFISejodqBIy0Q9AS0N,44,2012,acoustic,-0.473976584,0.271090179,6,-7.503,0,0.0386,-0.463501281,-0.691228709,3.824433119,-0.355891552,74.71,283587,4,Energetic
15,The Civil Wars,Kingdom Come,1IZc5f9ulw7Ge2eOpQH7w6,41,2012,acoustic,-0.219203598,-1.34073521,4,-11.382,0,0.0373,1.477414533,-0.691215643,-0.5571121,-1.029959645,81.367,222560,4,Happy
16,Gabrielle Aplin,Home,20kpTTSvI4ok6Gm1uZqtcz,57,2012,acoustic,-0.533604304,-1.385097377,2,-10.72,1,0.0343,1.167544084,-0.691228709,-0.646632887,-0.273960624,140.494,247002,4,Happy
